Position,Match Day,Estadistica,Distance (m),"Speed Zones (m) [0.0, 6.0]km/h (m)",Abs HSR(m),Sprint Abs (m),Sprint Rel (m),Explosive Dist (m),Max Acceleration,Accelerations,Decelerations,Dif. ACC/DEC,Step Balance (%),Total impacts,Distance (m) diff,"Speed Zones (m) [0.0, 6.0]km/h (m) diff",Abs HSR(m) diff,Sprint Abs (m) diff,Sprint Rel (m) diff,Explosive Dist (m) diff,Max Acceleration diff,Accelerations diff,Decelerations diff,Dif. ACC/DEC diff,Step Balance (%) diff,Total impacts diff
Extremo,-5 MD,p95,6343.46530728313,2713.24389648438,253.094596697593,105.009777574356,0.0,842.320069817813,5.22053030454351,2831.0,2856.0,38.0,0.0352469244366084,12652.0,55.15,56.57,26.34,18.56,0.0,57.61,80.75,81.99,82.16,1900.0,94.95,49.28
Extremo,>-5 MD,mean,4471.11914091922,1842.53728027344,124.13565362358229,34.38270239623759,0.0,584.7419848008652,4.841752683361277,1830.8,1840.6,-1.8,0.014535370855821877,9593.6,52.99,58.87,21.08,12.37,0.0,57.1,96.55,76.05,76.28,8.83,101.48,56.08
Extremo,>-5 MD,median,4095.28006603805,1746.30847167969,55.2670682037554,7.90546452629686,0.0,546.954381585145,5.2178746562213,1541.0,1551.0,-4.0,0.0209335879891906,9693.0,43.24,54.94,9.38,3.08,,48.79,107.0,63.07,63.36,25.81,149.52,50.17
Extremo,>-5 MD,max,5441.09356772475,2264.44482421875,276.878309340189,90.5334914742633,0.0,687.036791610649,5.51736547458001,2444.0,2475.0,24.0,0.0342247741014154,11270.0,42.3,40.34,24.7,12.6,0.0,44.73,70.4,65.1,65.98,218.18,72.66,38.85
Extremo,>-5 MD,min,3840.28615824709,1530.83032226563,0.0,0.0,0.0,509.584446160224,3.62510534799863,1426.0,1418.0,-22.0,-0.020513069057953,7575.0,177.53,218.74,0.0,0.0,,192.67,105.64,292.81,292.37,30.14,75.36,197.16
Extremo,>-5 MD,p75,4948.22665163354,2054.92626953125,237.490281356984,73.4745559806278,0.0,646.941698953068,5.27459203569777,2290.0,2303.0,3.0,0.030845165212918,10997.0,46.37,48.81,30.63,21.84,,50.18,99.79,73.89,73.93,-60.0,128.03,53.15
Extremo,>-5 MD,p90,5441.09356772475,2264.44482421875,276.878309340189,90.5334914742633,0.0,687.036791610649,5.51736547458001,2444.0,2475.0,24.0,0.0342247741014154,11270.0,48.87,49.39,29.5,16.36,,48.51,93.0,71.05,72.18,,103.77,46.44
Extremo,>-5 MD,p95,5441.09356772475,2264.44482421875,276.878309340189,90.5334914742633,0.0,687.036791610649,5.51736547458001,2444.0,2475.0,24.0,0.0342247741014154,11270.0,47.31,47.21,28.81,16.0,0.0,46.99,85.34,70.78,71.2,1200.0,92.2,43.89
Extremo,-2 MD,mean,2897.9648255421785,1629.326946756116,53.87320807256997,14.710266185288969,0.20105860464178846,306.965730083352,4.195174931511317,2016.5217391304348,2027.608695652174,3.217391304347826,0.00822648193048353,6467.391304347826,34.34,52.06,9.15,5.29,9.12,29.97,83.65,83.77,84.03,-15.78,57.43,37.81
Extremo,-2 MD,median,2859.758661682145,1612.206787109375,29.7053600571988,0.0,0.0,284.95890546389,4.136853870819715,1973.0,1977.0,2.5,0.005760056245128075,6559.5,30.19,50.72,5.04,0.0,,25.42,84.83,80.74,80.76,-16.13,41.14,33.95
